0, 0.0005152225494384766,			1.2664,1.2465,1.2582,1.2468,1.2565,1.2125,0.0367
1, 0.0005152225494384766,			1.2353,1.2303,1.2452,1.2341,1.2423,1.228,-0.0033
2, 0.0005152225494384766,			1.2358,1.2088,1.26,1.2433,1.2372,1.2363,-0.0027
3, 0.0005152225494384766,			1.1999,1.2644,1.258,1.2123,1.2352,1.2001,0.0558
4, 0.0005152225494384766,			-0.0014,-3.1797,1.2465,1.2248,1.2379,1.243,-0.0011
5, 0.0005152225494384766,			-4.4138,1.2305,1.2492,1.2242,1.24,1.2454,-0.0016
6, 0.0005152225494384766,			0.6613,0.9653,1.4054,1.477,1.4231,1.4198,0.0009
7, 0.0005152225494384766,			-5.659,3.7192,-1.2471,3.7066,-0.5237,1.7592,0.0038
0, 0.5253164768218994,			1.2664,1.2516,1.2531,1.2519,1.2565,1.2074,0.0469
1, 0.5253164768218994,			1.2353,1.2354,1.2401,1.2341,1.2423,1.228,-0.0033
2, 0.5253164768218994,			1.2307,1.2139,1.2651,1.2382,1.2423,1.2312,0.0024
3, 0.5253164768218994,			1.1999,1.2644,1.2529,1.2174,1.2301,1.2052,0.0507
4, 0.5253164768218994,			-0.0065,-3.1797,1.2516,1.235,1.2277,1.2379,0.004
5, 0.5253164768218994,			-4.4138,1.2356,1.239,1.2294,1.24,1.2403,-0.0015
6, 0.5253164768218994,			0.6613,0.9653,1.4054,1.477,1.4231,1.4198,0.0009
7, 0.5253164768218994,			-5.6539,3.7141,-1.242,3.7015,-0.5288,1.7694,-0.0012
0, 1.0689377784729004,			1.2664,1.2516,1.2582,1.2468,1.2565,1.2125,0.0469
1, 1.0689377784729004,			1.2352,1.2252,1.2452,1.2341,1.2423,1.228,0.0018
2, 1.0689377784729004,			1.2307,1.2139,1.26,1.2433,1.2372,1.2363,0.0024
3, 1.0689377784729004,			1.205,1.2644,1.2529,1.2174,1.2301,1.2052,0.0507
4, 1.0689377784729004,			0.0038,-3.1899,1.2516,1.235,1.2277,1.2379,-0.0062
5, 1.0689377784729004,			-4.4087,1.2254,1.2492,1.2191,1.2451,1.2454,-0.0016
6, 1.0689377784729004,			0.6664,0.9653,1.4054,1.477,1.4231,1.4198,0.0061
7, 1.0689377784729004,			-5.659,3.7192,-1.242,3.7015,-0.5237,1.7592,-0.0013
0, 1.641357183456421,			1.2664,1.2516,1.2582,1.2468,1.2565,1.2228,0.0367
