0, 0.0007050037384033203,			1.3223,1.3238,1.3295,1.3229,1.3199,1.3245,0.0066
1, 0.0007050037384033203,			1.3218,1.322,1.3157,1.3253,1.3259,1.3175,-0.0006
2, 0.0007050037384033203,			1.3262,1.3205,1.3215,1.3197,1.3183,1.3253,0.0009
3, 0.0007050037384033203,			1.2915,1.3504,2.7525,-0.1022,1.3058,1.2864,0.0559
4, 0.0007050037384033203,			-0.0014,-2.7468,1.3207,1.3248,1.3206,1.3216,0.0004
5, 0.0007050037384033203,			-4.0718,1.3168,1.3226,1.3245,1.3211,1.32,0.0005
6, 0.0007050037384033203,			1.3216,1.3334,1.3157,1.3261,1.3241,1.311,-0.0102
7, 0.0007050037384033203,			-5.4751,4.0208,-1.3345,4.0244,-1.2138,2.539,-0.0003
0, 2.049098014831543,			1.3223,1.3289,1.3243,1.3229,1.3251,1.3245,-0.0037
1, 2.049098014831543,			1.3218,1.322,1.3157,1.3253,1.3259,1.3175,-0.0006
2, 2.049098014831543,			1.3262,1.3154,1.3266,1.3146,1.3234,1.3253,0.0009
3, 2.049098014831543,			1.2915,1.3504,2.7474,-0.0971,1.3058,1.2864,0.0559
4, 2.049098014831543,			-0.0065,-2.7468,1.3207,1.3197,1.3206,1.3216,0.0004
5, 2.049098014831543,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.32,0.0005
6, 2.049098014831543,			1.3267,1.3232,1.3259,1.321,1.3292,1.3058,-0.0051
7, 2.049098014831543,			-5.5161,4.0208,-1.3345,4.0244,-1.2138,2.5339,-0.0003
0, 4.24058985710144,			1.3275,1.3238,1.3295,1.3229,1.3199,1.3296,-0.0037
1, 4.24058985710144,			1.3269,1.322,1.3106,1.3304,1.3157,1.3227,-0.0006
2, 4.24058985710144,			1.3313,1.3103,1.3215,1.3197,1.3234,1.3202,0.006
3, 4.24058985710144,			1.2864,1.3555,2.7474,-0.0971,1.3007,1.2864,0.0559
4, 4.24058985710144,			-0.0065,-2.7468,1.3207,1.3197,1.3257,1.3165,0.0004
5, 4.24058985710144,			-4.0718,1.3168,1.3225,1.3296,1.3211,1.32,0.0005
6, 4.24058985710144,			1.3267,1.3283,1.3208,1.3159,1.3292,1.311,-0.0102
7, 4.24058985710144,			-5.47,4.0157,-1.3396,4.0295,-1.2087,2.5339,-0.0003
0, 6.31933069229126,			1.3223,1.3238,1.3295,1.3229,1.3199,1.3245,0.0014
1, 6.31933069229126,			1.3218,1.322,1.3157,1.3253,1.3259,1.3175,-0.0006
2, 6.31933069229126,			1.3211,1.3154,1.3317,1.3095,1.3234,1.3253,-0.0042
3, 6.31933069229126,			1.2915,1.3504,2.7525,-0.1022,1.3058,1.2864,0.0559
4, 6.31933069229126,			-0.0065,-2.7468,1.3207,1.3197,1.3257,1.3165,0.0004
5, 6.31933069229126,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.32,0.0005
6, 6.31933069229126,			1.3216,1.3232,1.3259,1.321,1.3292,1.3058,-0.0102
